label,status,start_year,end_year,start_decade,country,types,alt_labels,wikidata_id,wikidata_url,official_website,commons_logo_filename,commons_logo_file_page,commons_logo_download_url,logo_thumb_url
Q58158827,active,1901,,1900s,,automobile manufacturer,,Q58158827,http://www.wikidata.org/entity/Q58158827,,,,,
Q58424435,active,1901,,1900s,,automobile manufacturer,,Q58424435,http://www.wikidata.org/entity/Q58424435,,,,,
Q58812844,active,1901,,1900s,,automobile manufacturer,,Q58812844,http://www.wikidata.org/entity/Q58812844,,,,,
Q787777,defunct,1901,1912,1900s,,automobile manufacturer,,Q787777,http://www.wikidata.org/entity/Q787777,,,,,
Q787867,defunct,1901,1904,1900s,German Empire,automobile manufacturer,,Q787867,http://www.wikidata.org/entity/Q787867,,,,,
Q811158,defunct,1901,1905,1900s,,automobile manufacturer,,Q811158,http://www.wikidata.org/entity/Q811158,,,,,
Q828643,defunct,1901,1902,1900s,,automobile manufacturer,,Q828643,http://www.wikidata.org/entity/Q828643,,,,,
Quadrant,defunct,1901,1928,1900s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q7268324,http://www.wikidata.org/entity/Q7268324,,,,,
Reading Steamer,defunct,1901,1903,1900s,,automobile manufacturer,,Q7300568,http://www.wikidata.org/entity/Q7300568,,,,,
Reyrol vehicles,active,1901,,1900s,,automobile manufacturer,,Q1469513,http://www.wikidata.org/entity/Q1469513,,,,,
Seng et Henry,defunct,1901,1902,1900s,,automobile manufacturer,,Q1300960,http://www.wikidata.org/entity/Q1300960,,,,,
Stearns Steam Carriage Company,defunct,1901,1904,1900s,United States,automobile manufacturer,,Q7605524,http://www.wikidata.org/entity/Q7605524,,Stearns-steamer 1901 logo.jpg,https://commons.wikimedia.org/wiki/File:Stearns-steamer_1901_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Stearns-steamer_1901_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Stearns-steamer_1901_logo.jpg?width=128
Stella vehicles,defunct,1901,1913,1900s,Switzerland,automobile manufacturer,,Q1121090,http://www.wikidata.org/entity/Q1121090,,,,,
Stevens-Duryea,defunct,1901,1927,1900s,,automobile manufacturer,,Q7615452,http://www.wikidata.org/entity/Q7615452,,Stevens-duryea 1911 logo.jpg,https://commons.wikimedia.org/wiki/File:Stevens-duryea_1911_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Stevens-duryea_1911_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Stevens-duryea_1911_logo.jpg?width=128
Tarrant automobile,active,1901,,1900s,Australia,automobile manufacturer,,Q1384817,http://www.wikidata.org/entity/Q1384817,,,,,
Toledo,defunct,1901,1903,1900s,United States,automobile manufacturer,,Q2439113,http://www.wikidata.org/entity/Q2439113,,,,,
Victoria,defunct,1901,1966,1900s,Germany,automobile manufacturer;motorcycle manufacturer,,Q874604,http://www.wikidata.org/entity/Q874604,http://www.victoria-fahrrad.de,Victoria Werke Logo noBG.png,https://commons.wikimedia.org/wiki/File:Victoria_Werke_Logo_noBG.png,https://commons.wikimedia.org/wiki/Special:FilePath/Victoria_Werke_Logo_noBG.png,https://commons.wikimedia.org/wiki/Special:FilePath/Victoria_Werke_Logo_noBG.png?width=128
Wilson-Pilcher,defunct,1901,1904,1900s,United Kingdom,automobile manufacturer,,Q861183,http://www.wikidata.org/entity/Q861183,,,,,
Wolseley Motor Company,defunct,1901,1975,1900s,United Kingdom,automobile manufacturer,,Q530099,http://www.wikidata.org/entity/Q530099,,Wolseley sign.jpg,https://commons.wikimedia.org/wiki/File:Wolseley_sign.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Wolseley_sign.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Wolseley_sign.jpg?width=128
Yorkshire Patent Steam Wagon Co.,defunct,1901,1993,1900s,,automobile manufacturer,,Q8055734,http://www.wikidata.org/entity/Q8055734,,,,,
Ache vehicles,defunct,1902,1904,1900s,,automobile manufacturer,,Q14541309,http://www.wikidata.org/entity/Q14541309,,,,,
Anglo-Dane,active,1902,,1900s,Denmark,automobile manufacturer,,Q541029,http://www.wikidata.org/entity/Q541029,,,,,
Apperson,defunct,1902,1926,1900s,United States,automobile manufacturer,,Q620987,http://www.wikidata.org/entity/Q620987,,,,,
Ariel Motorcycles,defunct,1902,1970,1900s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q369821,http://www.wikidata.org/entity/Q369821,,MotoLegende2009 93 ariel.jpg,https://commons.wikimedia.org/wiki/File:MotoLegende2009_93_ariel.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/MotoLegende2009_93_ariel.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/MotoLegende2009_93_ariel.jpg?width=128
Bat Motor Manufacturing Co.,defunct,1902,1926,1900s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q2668035,http://www.wikidata.org/entity/Q2668035,,,,,
Bij 't Vuur,active,1902,,1900s,,automobile manufacturer,,Q859820,http://www.wikidata.org/entity/Q859820,,,,,
Binney & Burnham,defunct,1902,1903,1900s,United States,automobile manufacturer,,Q4914438,http://www.wikidata.org/entity/Q4914438,,,,,
Bovy vehicles,defunct,1902,1930,1900s,,automobile manufacturer;motorcycle manufacturer,,Q754114,http://www.wikidata.org/entity/Q754114,,,,,
Cadillac,active,1902,,1900s,United States,automobile manufacturer,Cadillac Motor Car Division,Q27436,http://www.wikidata.org/entity/Q27436,https://www.cadillac.com/,Cadillac emblem.jpg,https://commons.wikimedia.org/wiki/File:Cadillac_emblem.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cadillac_emblem.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Cadillac_emblem.jpg?width=128
Cannon,active,1902,,1900s,United States,automobile manufacturer,,Q5032744,http://www.wikidata.org/entity/Q5032744,,,,,
Chase,defunct,1902,1906,1900s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q3258667,http://www.wikidata.org/entity/Q3258667,,,,,
Chatel-Jeannin,defunct,1902,1903,1900s,German Empire,automobile manufacturer,,Q1068156,http://www.wikidata.org/entity/Q1068156,,,,,
Clarkmobile,defunct,1902,1905,1900s,United States,automobile manufacturer,,Q5127570,http://www.wikidata.org/entity/Q5127570,,,,,
Clipper,defunct,1902,1902,1900s,United States,automobile manufacturer,,Q5134366,http://www.wikidata.org/entity/Q5134366,,,,,
Clément-Talbot,defunct,1902,1935,1900s,United Kingdom,automobile manufacturer,Clement-Talbot,Q5137277,http://www.wikidata.org/entity/Q5137277,,Talbot london logo1919.png,https://commons.wikimedia.org/wiki/File:Talbot_london_logo1919.png,https://commons.wikimedia.org/wiki/Special:FilePath/Talbot_london_logo1919.png,https://commons.wikimedia.org/wiki/Special:FilePath/Talbot_london_logo1919.png?width=128
Columbus Motor Vehicle Company,defunct,1902,1904,1900s,,automobile manufacturer,,Q1112781,http://www.wikidata.org/entity/Q1112781,,,,,
Griffon vehicles,defunct,1902,1955,1900s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q288724,http://www.wikidata.org/entity/Q288724,,,,,
Herdtle & Bruneau,defunct,1902,1914,1900s,France,automobile manufacturer;motorcycle manufacturer,,Q2653322,http://www.wikidata.org/entity/Q2653322,,,,,
Hoffman,defunct,1902,1904,1900s,United States,automobile manufacturer,Hoffman Automobile and Manufacturing Company,Q5876580,http://www.wikidata.org/entity/Q5876580,,,,,
International Harvester,defunct,1902,1985,1900s,United States,automobile manufacturer,IH;International Trucks;International Harvester Company;IHC;The International Harvester Company,Q263800,http://www.wikidata.org/entity/Q263800,,International Harvester logo.png,https://commons.wikimedia.org/wiki/File:International_Harvester_logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/International_Harvester_logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/International_Harvester_logo.png?width=128
Lambert & Cie,defunct,1902,1906,1900s,,automobile manufacturer,,Q1801350,http://www.wikidata.org/entity/Q1801350,,,,,
Magnet,defunct,1902,1903,1900s,,automobile manufacturer,,Q16854560,http://www.wikidata.org/entity/Q16854560,,,,,
Marmon Motor Car Company,defunct,1902,1933,1900s,United States,automobile manufacturer,,Q1517756,http://www.wikidata.org/entity/Q1517756,,Autosammlung Steim - Schramberg 010 (7671034264).jpg,https://commons.wikimedia.org/wiki/File:Autosammlung_Steim_-_Schramberg_010_%287671034264%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Autosammlung_Steim_-_Schramberg_010_%287671034264%29.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Autosammlung_Steim_-_Schramberg_010_%287671034264%29.jpg?width=128
Maudslay Motor Company,defunct,1902,1954,1900s,United Kingdom,automobile manufacturer,,Q860694,http://www.wikidata.org/entity/Q860694,,,,,
Mercedes,defunct,1902,1926,1900s,Germany,automobile manufacturer,Mercedes brand,Q2372729,http://www.wikidata.org/entity/Q2372729,,Mercedes benz logo 1916.png,https://commons.wikimedia.org/wiki/File:Mercedes_benz_logo_1916.png,https://commons.wikimedia.org/wiki/Special:FilePath/Mercedes_benz_logo_1916.png,https://commons.wikimedia.org/wiki/Special:FilePath/Mercedes_benz_logo_1916.png?width=128
Meserve Auto Truck Company,active,1902,,1900s,,automobile manufacturer,,Q57279202,http://www.wikidata.org/entity/Q57279202,,,,,
Michigan,active,1902,,1900s,United States,automobile manufacturer,,Q6837436,http://www.wikidata.org/entity/Q6837436,,Michigan-Motoring Magazine-1913-029.jpg,https://commons.wikimedia.org/wiki/File:Michigan-Motoring_Magazine-1913-029.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Michigan-Motoring_Magazine-1913-029.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Michigan-Motoring_Magazine-1913-029.jpg?width=128
Motobloc,defunct,1902,1961,1900s,France,automobile manufacturer;motorcycle manufacturer,Société Centrale de Constructions Mécaniques,Q527335,http://www.wikidata.org/entity/Q527335,,Emblem Motobloc.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Motobloc.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Motobloc.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Motobloc.JPG?width=128
Mutel (engineering),defunct,1902,1906,1900s,,automobile manufacturer,,Q1587014,http://www.wikidata.org/entity/Q1587014,,,,,
Pan-American Motor Company,defunct,1902,1903,1900s,United States,automobile manufacturer,,Q59155097,http://www.wikidata.org/entity/Q59155097,,,,,
Petri + Lehr vehicles,defunct,1902,2019,1900s,Germany,automobile manufacturer,,Q2080546,http://www.wikidata.org/entity/Q2080546,http://www.petri-lehr.de,,,,
Q1061496,defunct,1902,1905,1900s,,automobile manufacturer,,Q1061496,http://www.wikidata.org/entity/Q1061496,,,,,
Q1229354,defunct,1902,1909,1900s,,automobile manufacturer,,Q1229354,http://www.wikidata.org/entity/Q1229354,,,,,
Q1419955,defunct,1902,1905,1900s,German Empire,automobile manufacturer,,Q1419955,http://www.wikidata.org/entity/Q1419955,,,,,
Q1496318,defunct,1902,1907,1900s,,automobile manufacturer,,Q1496318,http://www.wikidata.org/entity/Q1496318,,,,,
Q1566558,defunct,1902,1906,1900s,Netherlands,automobile manufacturer;motorcycle manufacturer,,Q1566558,http://www.wikidata.org/entity/Q1566558,,,,,
Q15792858,defunct,1902,1903,1900s,,automobile manufacturer,,Q15792858,http://www.wikidata.org/entity/Q15792858,,,,,
Q15811204,active,1902,,1900s,,automobile manufacturer,,Q15811204,http://www.wikidata.org/entity/Q15811204,,,,,
Q15825044,defunct,1902,1903,1900s,,automobile manufacturer,,Q15825044,http://www.wikidata.org/entity/Q15825044,,,,,
Q16830277,defunct,1902,1903,1900s,,automobile manufacturer,,Q16830277,http://www.wikidata.org/entity/Q16830277,,,,,
Q16830848,defunct,1902,1920,1900s,,automobile manufacturer,,Q16830848,http://www.wikidata.org/entity/Q16830848,,,,,
Q16855566,defunct,1902,1904,1900s,,automobile manufacturer,,Q16855566,http://www.wikidata.org/entity/Q16855566,,,,,
Q16857351,defunct,1902,1903,1900s,,automobile manufacturer,,Q16857351,http://www.wikidata.org/entity/Q16857351,,,,,
Q1747920,defunct,1902,1903,1900s,,automobile manufacturer,,Q1747920,http://www.wikidata.org/entity/Q1747920,,,,,
Q1773632,defunct,1902,1903,1900s,German Empire,automobile manufacturer,,Q1773632,http://www.wikidata.org/entity/Q1773632,,,,,
Q1798525,active,1902,,1900s,,automobile manufacturer,,Q1798525,http://www.wikidata.org/entity/Q1798525,,,,,
Q1798764,defunct,1902,1902,1900s,,automobile manufacturer,,Q1798764,http://www.wikidata.org/entity/Q1798764,,,,,
Q1826278,defunct,1902,1908,1900s,,automobile manufacturer,,Q1826278,http://www.wikidata.org/entity/Q1826278,,,,,
Q1834550,defunct,1902,1908,1900s,France,automobile manufacturer;motorcycle manufacturer,,Q1834550,http://www.wikidata.org/entity/Q1834550,,,,,
Q1871281,defunct,1902,1922,1900s,France,automobile manufacturer;motorcycle manufacturer,,Q1871281,http://www.wikidata.org/entity/Q1871281,,,,,
Q1871346,defunct,1902,1908,1900s,,automobile manufacturer,,Q1871346,http://www.wikidata.org/entity/Q1871346,,,,,
Q1913546,defunct,1902,1904,1900s,Germany,automobile manufacturer,,Q1913546,http://www.wikidata.org/entity/Q1913546,,,,,
Q1949573,defunct,1902,1902,1900s,,automobile manufacturer,,Q1949573,http://www.wikidata.org/entity/Q1949573,,,,,
Q2397121,defunct,1902,1908,1900s,,automobile manufacturer,,Q2397121,http://www.wikidata.org/entity/Q2397121,,,,,
Q2461283,active,1902,,1900s,,automobile manufacturer,,Q2461283,http://www.wikidata.org/entity/Q2461283,,,,,
Q2797824,defunct,1902,1904,1900s,German Empire,automobile manufacturer,,Q2797824,http://www.wikidata.org/entity/Q2797824,,,,,
Q40469693,defunct,1902,1903,1900s,,automobile manufacturer,,Q40469693,http://www.wikidata.org/entity/Q40469693,,,,,
Q41434394,defunct,1902,1914,1900s,,automobile manufacturer,,Q41434394,http://www.wikidata.org/entity/Q41434394,,,,,
Q41435207,defunct,1902,1902,1900s,,automobile manufacturer,,Q41435207,http://www.wikidata.org/entity/Q41435207,,,,,
Q42308405,defunct,1902,1903,1900s,,automobile manufacturer,,Q42308405,http://www.wikidata.org/entity/Q42308405,,,,,
Q42308409,defunct,1902,1903,1900s,,automobile manufacturer,,Q42308409,http://www.wikidata.org/entity/Q42308409,,,,,
Q42308412,defunct,1902,1904,1900s,,automobile manufacturer,,Q42308412,http://www.wikidata.org/entity/Q42308412,,,,,
Q42308434,defunct,1902,1903,1900s,,automobile manufacturer,,Q42308434,http://www.wikidata.org/entity/Q42308434,,,,,
Q42308440,active,1902,,1900s,,automobile manufacturer,,Q42308440,http://www.wikidata.org/entity/Q42308440,,,,,
Q42308452,active,1902,,1900s,,automobile manufacturer,,Q42308452,http://www.wikidata.org/entity/Q42308452,,,,,
Q46585009,active,1902,,1900s,,automobile manufacturer,,Q46585009,http://www.wikidata.org/entity/Q46585009,,,,,
Q47542749,defunct,1902,1909,1900s,,automobile manufacturer,,Q47542749,http://www.wikidata.org/entity/Q47542749,,,,,
Q47542751,defunct,1902,1904,1900s,,automobile manufacturer,,Q47542751,http://www.wikidata.org/entity/Q47542751,,,,,
Q50063925,defunct,1902,1904,1900s,,automobile manufacturer,,Q50063925,http://www.wikidata.org/entity/Q50063925,,,,,
Q50659605,defunct,1902,1903,1900s,,automobile manufacturer,,Q50659605,http://www.wikidata.org/entity/Q50659605,,,,,
Q50659703,defunct,1902,1911,1900s,,automobile manufacturer,,Q50659703,http://www.wikidata.org/entity/Q50659703,,,,,
Q50659792,active,1902,,1900s,,automobile manufacturer,,Q50659792,http://www.wikidata.org/entity/Q50659792,,,,,
Q50864822,defunct,1902,1905,1900s,,automobile manufacturer,,Q50864822,http://www.wikidata.org/entity/Q50864822,,,,,
Q52082906,active,1902,,1900s,,automobile manufacturer,,Q52082906,http://www.wikidata.org/entity/Q52082906,,,,,
Q52256069,defunct,1902,1903,1900s,,automobile manufacturer,,Q52256069,http://www.wikidata.org/entity/Q52256069,,,,,
Q52256225,active,1902,,1900s,,automobile manufacturer,,Q52256225,http://www.wikidata.org/entity/Q52256225,,,,,
Q52656565,defunct,1902,1903,1900s,,automobile manufacturer,,Q52656565,http://www.wikidata.org/entity/Q52656565,,,,,
Q53195544,defunct,1902,1903,1900s,,automobile manufacturer,,Q53195544,http://www.wikidata.org/entity/Q53195544,,,,,
Q53195807,defunct,1902,1905,1900s,,automobile manufacturer,,Q53195807,http://www.wikidata.org/entity/Q53195807,,,,,
Q53196105,defunct,1902,1902,1900s,,automobile manufacturer,,Q53196105,http://www.wikidata.org/entity/Q53196105,,,,,
Q53760109,active,1902,,1900s,,automobile manufacturer,,Q53760109,http://www.wikidata.org/entity/Q53760109,,,,,
Q53760137,defunct,1902,1902,1900s,,automobile manufacturer,,Q53760137,http://www.wikidata.org/entity/Q53760137,,,,,
Q53760278,defunct,1902,1907,1900s,,automobile manufacturer,,Q53760278,http://www.wikidata.org/entity/Q53760278,,,,,
Q55691862,defunct,1902,1902,1900s,,automobile manufacturer,,Q55691862,http://www.wikidata.org/entity/Q55691862,,,,,
Q55955675,defunct,1902,1903,1900s,,automobile manufacturer,,Q55955675,http://www.wikidata.org/entity/Q55955675,,,,,
Q56051688,defunct,1902,1903,1900s,,automobile manufacturer,,Q56051688,http://www.wikidata.org/entity/Q56051688,,,,,
Q56159795,active,1902,,1900s,,automobile manufacturer,,Q56159795,http://www.wikidata.org/entity/Q56159795,,,,,
Q56159921,active,1902,,1900s,,automobile manufacturer,,Q56159921,http://www.wikidata.org/entity/Q56159921,,,,,
Q56159937,defunct,1902,1902,1900s,,automobile manufacturer,,Q56159937,http://www.wikidata.org/entity/Q56159937,,,,,
Q58158741,active,1902,,1900s,,automobile manufacturer,,Q58158741,http://www.wikidata.org/entity/Q58158741,,,,,
Q58159215,active,1902,,1900s,,automobile manufacturer,,Q58159215,http://www.wikidata.org/entity/Q58159215,,,,,
Q58424200,active,1902,,1900s,,automobile manufacturer,,Q58424200,http://www.wikidata.org/entity/Q58424200,,,,,
Q58424203,active,1902,,1900s,,automobile manufacturer,,Q58424203,http://www.wikidata.org/entity/Q58424203,,,,,
Q58424212,active,1902,,1900s,,automobile manufacturer,,Q58424212,http://www.wikidata.org/entity/Q58424212,,,,,
Q58424244,active,1902,,1900s,,automobile manufacturer,,Q58424244,http://www.wikidata.org/entity/Q58424244,,,,,
Q58424262,active,1902,,1900s,,automobile manufacturer,,Q58424262,http://www.wikidata.org/entity/Q58424262,,,,,
Q754100,defunct,1902,1907,1900s,,automobile manufacturer,,Q754100,http://www.wikidata.org/entity/Q754100,,,,,
Q787695,defunct,1902,1903,1900s,France,automobile manufacturer,,Q787695,http://www.wikidata.org/entity/Q787695,,,,,
Q787726,defunct,1902,1902,1900s,,automobile manufacturer,,Q787726,http://www.wikidata.org/entity/Q787726,,,,,
Q895065,defunct,1902,1903,1900s,,automobile manufacturer,,Q895065,http://www.wikidata.org/entity/Q895065,,,,,
Quagliotti,defunct,1902,1907,1900s,,automobile manufacturer;motorcycle manufacturer,,Q784697,http://www.wikidata.org/entity/Q784697,,,,,
Rapid Motor Vehicle Company,defunct,1902,1909,1900s,United States,automobile manufacturer,,Q7294171,http://www.wikidata.org/entity/Q7294171,,Rapid motor vehicle logo.png,https://commons.wikimedia.org/wiki/File:Rapid_motor_vehicle_logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Rapid_motor_vehicle_logo.png,https://commons.wikimedia.org/wiki/Special:FilePath/Rapid_motor_vehicle_logo.png?width=128
Richard-Brasier,defunct,1902,1904,1900s,France,automobile manufacturer,,Q41007,http://www.wikidata.org/entity/Q41007,,Brasier-auto 1906 logo.jpg,https://commons.wikimedia.org/wiki/File:Brasier-auto_1906_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Brasier-auto_1906_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Brasier-auto_1906_logo.jpg?width=128
Rigal,defunct,1902,1903,1900s,France,automobile manufacturer;motorcycle manufacturer,,Q1401349,http://www.wikidata.org/entity/Q1401349,,,,,
Sandusky Automobile Company,active,1902,,1900s,United States,automobile manufacturer,,Q7417004,http://www.wikidata.org/entity/Q7417004,,,,,
Sautel et Séchaud,defunct,1902,1904,1900s,,automobile manufacturer,Sautel et Sechaud,Q1234855,http://www.wikidata.org/entity/Q1234855,,,,,
Stanley Motor Carriage Company,defunct,1902,1924,1900s,United States,automobile manufacturer,,Q507456,http://www.wikidata.org/entity/Q507456,,Emblem Stanley.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Stanley.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Stanley.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Stanley.JPG?width=128
Süddeutsche Motorwagen-Industrie Noris Gebr. Bauer,defunct,1902,1904,1900s,,automobile manufacturer,,Q1651113,http://www.wikidata.org/entity/Q1651113,,,,,
Thomas B. Jeffery Company,defunct,1902,1916,1900s,United States,automobile manufacturer,,Q4051426,http://www.wikidata.org/entity/Q4051426,,Thomas B Jeffery Company Logo.jpg,https://commons.wikimedia.org/wiki/File:Thomas_B_Jeffery_Company_Logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Thomas_B_Jeffery_Company_Logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Thomas_B_Jeffery_Company_Logo.jpg?width=128
Tony Huber,defunct,1902,1906,1900s,,automobile manufacturer,,Q2442620,http://www.wikidata.org/entity/Q2442620,,,,,
Tribelhorn,defunct,1902,1920,1900s,Switzerland,automobile manufacturer,,Q2452469,http://www.wikidata.org/entity/Q2452469,,,,,
Vapomobile,defunct,1902,1904,1900s,,automobile manufacturer,,Q7915320,http://www.wikidata.org/entity/Q7915320,,,,,
Waddington vehicles,defunct,1902,1906,1900s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q2754630,http://www.wikidata.org/entity/Q2754630,,,,,
White Motor Company,defunct,1902,1980,1900s,United States,automobile manufacturer,,Q1756227,http://www.wikidata.org/entity/Q1756227,,White-company 1912-06 cleveland.jpg,https://commons.wikimedia.org/wiki/File:White-company_1912-06_cleveland.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/White-company_1912-06_cleveland.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/White-company_1912-06_cleveland.jpg?width=128
Abingdon Motorcycles,defunct,1903,1933,1900s,United Kingdom,motorcycle manufacturer;automobile manufacturer,AKD,Q321340,http://www.wikidata.org/entity/Q321340,,,,,
Abingdon Works,defunct,1903,1925,1900s,,automobile manufacturer,,Q321373,http://www.wikidata.org/entity/Q321373,,,,,
Alliance,defunct,1903,1905,1900s,Germany,automobile manufacturer,,Q787469,http://www.wikidata.org/entity/Q787469,,,,,
Antoinette,defunct,1903,1912,1900s,,automobile manufacturer,,Q1854757,http://www.wikidata.org/entity/Q1854757,,,,,
APIS (automobiles),active,1903,,1900s,,automobile manufacturer,,Q88724846,http://www.wikidata.org/entity/Q88724846,,,,,
Ariès,defunct,1903,1938,1900s,,automobile manufacturer,Aries,Q174510,http://www.wikidata.org/entity/Q174510,,Emblem Aries.JPG,https://commons.wikimedia.org/wiki/File:Emblem_Aries.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Aries.JPG,https://commons.wikimedia.org/wiki/Special:FilePath/Emblem_Aries.JPG?width=128
Attila,defunct,1903,1906,1900s,,automobile manufacturer,,Q4818371,http://www.wikidata.org/entity/Q4818371,,,,,
Ausonia,defunct,1903,1910,1900s,Italy,automobile manufacturer,,Q779665,http://www.wikidata.org/entity/Q779665,,,,,
Automobiles Grégoire (1902-1924),defunct,1903,1924,1900s,France,automobile manufacturer,Gregoire;Automobiles Gregoire,Q787616,http://www.wikidata.org/entity/Q787616,,,,,
Automobiles Rossel,defunct,1903,1926,1900s,,automobile manufacturer,,Q787742,http://www.wikidata.org/entity/Q787742,,,,,
Bates Automobile Company,defunct,1903,1905,1900s,United States,automobile manufacturer,,Q132543792,http://www.wikidata.org/entity/Q132543792,,,,,
Brew-Hatcher,defunct,1903,1905,1900s,United States,automobile manufacturer,B & H,Q4962609,http://www.wikidata.org/entity/Q4962609,,Brew-Hatcher logo.jpg,https://commons.wikimedia.org/wiki/File:Brew-Hatcher_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Brew-Hatcher_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Brew-Hatcher_logo.jpg?width=128
Carrosserie Georges Gangloff,defunct,1903,1936,1900s,Switzerland,automobile manufacturer,Gangloff Coachwork;Gangloff,Q3095143,http://www.wikidata.org/entity/Q3095143,,Gangloff.cabins.png,https://commons.wikimedia.org/wiki/File:Gangloff.cabins.png,https://commons.wikimedia.org/wiki/Special:FilePath/Gangloff.cabins.png,https://commons.wikimedia.org/wiki/Special:FilePath/Gangloff.cabins.png?width=128
Compagnie Nationale Excelsior,defunct,1903,1930,1900s,,automobile manufacturer,Excelsior;Automobiles Excelsior SA,Q787591,http://www.wikidata.org/entity/Q787591,,,,,
Cremorne vehicles,defunct,1903,1906,1900s,,automobile manufacturer,,Q16830932,http://www.wikidata.org/entity/Q16830932,,,,,
De Cosmo vehicles,active,1903,,1900s,,automobile manufacturer;motorcycle manufacturer,,Q1179807,http://www.wikidata.org/entity/Q1179807,,,,,
Delaunay-Belleville,defunct,1903,1948,1900s,France,automobile manufacturer,,Q1183915,http://www.wikidata.org/entity/Q1183915,,,,,
Dingfelder,active,1903,,1900s,United States,automobile manufacturer,,Q5278194,http://www.wikidata.org/entity/Q5278194,,,,,
Dot Cycle and Motor Manufacturing Company,active,1903,,1900s,United Kingdom,automobile manufacturer;motorcycle manufacturer,,Q5299383,http://www.wikidata.org/entity/Q5299383,,Dot logo.jpg,https://commons.wikimedia.org/wiki/File:Dot_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Dot_logo.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Dot_logo.jpg?width=128
Elswick,defunct,1903,1912,1900s,,automobile manufacturer,,Q1333970,http://www.wikidata.org/entity/Q1333970,,,,,
Fiat Industrial Vehicles,defunct,1903,1974,1900s,Italy,automobile manufacturer,,Q3071295,http://www.wikidata.org/entity/Q3071295,,FiatLogo1931.jpg,https://commons.wikimedia.org/wiki/File:FiatLogo1931.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/FiatLogo1931.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/FiatLogo1931.jpg?width=128
Ford of Mexico,active,1903,,1900s,Mexico,automobile manufacturer,Ford de Mexico;Ford Mexico;Ford Motor Company of México;Ford Motor Company S.A. de C.V.;Ford of México,Q41795988,http://www.wikidata.org/entity/Q41795988,https://www.ford.mx/,Ford logo.svg,https://commons.wikimedia.org/wiki/File:Ford_logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Ford_logo.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Ford_logo.svg?width=128
Fritchle vehicles,defunct,1903,1920,1900s,,automobile manufacturer,,Q50318593,http://www.wikidata.org/entity/Q50318593,,,,,
Glide,defunct,1903,1920,1900s,United States,automobile manufacturer,Bartholomew Company,Q1531301,http://www.wikidata.org/entity/Q1531301,,Glide-auto 1909.gif,https://commons.wikimedia.org/wiki/File:Glide-auto_1909.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Glide-auto_1909.gif,https://commons.wikimedia.org/wiki/Special:FilePath/Glide-auto_1909.gif?width=128
Graham Automobile & Launch Company,defunct,1903,1903,1900s,,automobile manufacturer,,Q50864797,http://www.wikidata.org/entity/Q50864797,,,,,
